ADDRESS,LOCALITY,STATE,ZIP CODE,COUNTY,STREET,TYPE,PRICE,BEDS,BATHS,BUILD DATE,LOT SIZE,SQFT,FEES,VIEW COUNT,DAYS POSTED,DESCRIPTION
        3884 Yellow Gate Trl      ,Hubbard Lake,MI, 49747 ,Alcona ,Yellow Gate Trl,Single-Family Home,$139900,3,1,,40.00,1440,,55,129,Now this is a camp! Built in the 1970's this spacious camp will sleep 13 and comes furnished including washer & dryer! Built for year-round enjoyment this vinyl sided gem includes mineral rights underground power well septic propane furnace water heater and recently purchased ''whole house'' wood burner in basement. Just bring on the fun and enjoy the hunt!              
        E5640 Autrain River Vw      ,Au Train,MI, 49806 ,Alger ,Autrain River Vw,Single-Family Home,$314900,2,2,1976,1.10,1653,,92,44,Beautifully updated ranch home on the Au Train River in Michigan's Upper Peninsula. Panoramic views of wildlife from your front windows on a daily basis including eagles swans ducks geese deer and wild birds of all kinds. Kayak or canoe for miles and down to Lake Superior from your own dock in the front yard. Lush green grass in summer right to the rivers' edge. Gazebo and paver block patio in yard raised garden beds landscaped front and back with annuals herb garden and three composting systems. Attached garden shed at side entry and detached tool storage shed. Exterior of the home features 50 year transferrable warranty roof new in 2014 as well as Smartside siding with 30 year warranty new cedar deck with perimeter lighting for entertaining and a circle drive to the two car heated attached garage with epoxy floor and lots of storage space. Inside you are treated to an entirely updated home with newer hardwood flooring in the main areas custom tile floors and showers in both bathrooms and new tile floor and custom woodgrain tile countertops and stainless farm sink in the recently remodeled mudroom/laundry room. New electrical panel 2017. Kitchen features stainless appliances beautiful tile splash reverse osmosis drinking water system at the tap centrally located gas insert fireplace with custom made wood mantle limestone surround and tiled hearth. Custom cellular shades throughout with top down bottom up featured in the living area overlooking the river. Newer natural gas boiler and direct fired hot water heater. Bedrooms have new carpet five new windows and all rooms in the home have been recently painted. This is an amazing one floor living home with a view of nature like few others can provide. Close to Lake Superior beaches Au Train Lake Pictured Rocks National Lakeshore and a great location to enjoy all four seasons that our beautiful UP has to offer.              
        E5640 Autrain River Vw      ,Au Train,MI, 49806 ,Alger ,Autrain River Vw,Single-Family Home,$314900,2,2,1976,1.10,1653,,92,44,Beautifully updated ranch home on the Au Train River in Michigan's Upper Peninsula. Panoramic views of wildlife from your front windows on a daily basis including eagles swans ducks geese deer and wild birds of all kinds. Kayak or canoe for miles and down to Lake Superior from your own dock in the front yard. Lush green grass in summer right to the rivers' edge. Gazebo and paver block patio in yard raised garden beds landscaped front and back with annuals herb garden and three composting systems. Attached garden shed at side entry and detached tool storage shed. Exterior of the home features 50 year transferrable warranty roof new in 2014 as well as Smartside siding with 30 year warranty new cedar deck with perimeter lighting for entertaining and a circle drive to the two car heated attached garage with epoxy floor and lots of storage space. Inside you are treated to an entirely updated home with newer hardwood flooring in the main areas custom tile floors and showers in both bathrooms and new tile floor and custom woodgrain tile countertops and stainless farm sink in the recently remodeled mudroom/laundry room. New electrical panel 2017. Kitchen features stainless appliances beautiful tile splash reverse osmosis drinking water system at the tap centrally located gas insert fireplace with custom made wood mantle limestone surround and tiled hearth. Custom cellular shades throughout with top down bottom up featured in the living area overlooking the river. Newer natural gas boiler and direct fired hot water heater. Bedrooms have new carpet five new windows and all rooms in the home have been recently painted. This is an amazing one floor living home with a view of nature like few others can provide. Close to Lake Superior beaches Au Train Lake Pictured Rocks National Lakeshore and a great location to enjoy all four seasons that our beautiful UP has to offer.              
        E4319 Autrain Trl #53-54      ,Au Train,MI, 49806 ,Alger ,Autrain Trl,Single-Family Home,$85500,2,1,1980,0.42,928,,518,972,MOTIVATED SELLER!! A charming chalet with great access to Lake Superior within walking distance from property. Boat launch close by. Enjoy all the lake activities and not the high waterfront taxes. Chalet is on 2 wooded lots for privacy. New metal roof on house & garage in Nov 2016. Has a detached 24x24 garage with 220 power for your hobbies. Has a 8 x 24 deck. Chalet comes fully furnished. There is an inside sauna for your relaxation. A great recreational area.              
        E5449 Curtis Dr      ,Au Train,MI, 49806 ,Alger ,Curtis Dr,Single-Family Home,$225000,3,2,,1.00,2532,,90,177,Here we have the AuTrain River Lodge. This popular vacation rental home sits on a beautiful stretch of the AuTrain River not far from AuTrain Lake. There's a permanent dock with plenty of space for relaxing and launching your watercraft for your river adventures. AuTrain Lake is a short distance away and is an easy destination right from your own back yard. The lodge has a classic open floor plan design. The main level has a kitchen dining area and living room facing the river that's all open space perfect for gatherings and entertaining. It also has a stone fireplace for those cool northern summer nights and to take the edge off our cold seasons as well. The main level also has a bedroom and full bath. The upstairs is also an open design and offers semi private sleeping quarters and numerous beds. If you prefer more privacy the upstairs could be divided into two private bedrooms with additional open space too! The lower level here is awesome. It features additional open living space with a full walk-out toward the river a cozy bar area with another stone fireplace a half bath and utility room. The main level has an elevated deck overlooking the river and the lower level has a patio with a large covered block BBQ. There's also a fire pit all good to go with views of the river. This package also has an over-sized detached two car garage with a wood stove and hot tub. The property has a circle drive and plenty of space for parking or maneuvering a truck and trailer combo carrying your boat ATV's or snowmobiles. This is a great place to call your home cottage investment or business. Make your appointment today!!              
        E3457 Shelter Bay Rd      ,Au Train,MI, 49806 ,Alger ,Shelter Bay Rd,Lot/Land,$119000,,,,0.40,,,82,75,Great Lot on Shelter Bay facing East for Beautiful Sunrises!!! This lot has been cleared and has an access provided to the Lakeshore. It sits above lake level for protection from the east winds with a rocky shoreline. A Special place to build your Cottage or year round home............              
        N9221 Shore Dr      ,Au Train,MI, 49806 ,Alger ,Shore Dr,Single-Family Home,$399900,5,4,2004,10.05,3600,,237,459,Welcome home! This 5 BDRM/ 4bath home has the character and charm of a 'Turn of the Century' Victorian home but with all the modern conveniences. Imagine enjoying a cup of coffee on the covered wrap around porch while listening to the song birds. Make that cup of coffee in the kitchen that boasts nine foot ceilings granite countertops and oak quarter-sawn (floor to ceiling) custom cabinets and a gas fireplace. The wood accents and crown molding throughout add to that relaxed feeling you get as you tour the home. If you work from home the second floor has a spacious office area with a wooded view. Also located on the second floor are two bedrooms with views of the woods. a 3/4 bathroom with a tiled walk in shower a spacious utility room and the master bedroom. The master bedroom has a 6x10 walk-in closet and the master bathroom has a soaking tub with soothing views of the forest . At bedtime open the windows and let the crashing waves of Lake Superior sound you to sleep. The third floor has a convenient half bath and two spacious bedrooms with views overlooking the woods as well. On those cold days and nights your feet will love the radiant heat that runs throughout the home! The spacious basement has a 9' ceiling clearance and the poured concrete walls are insulated. The garage has an 8' and a 10' opening and with Deer Lake and Lake Superior just a minutes away there's room to store your fishing boat. Another added bonus this home sits on 10 acres of woods with its own personal trails that lead to the bordering CFR land and with Marquette being only less than twenty five minutes away and Munising twenty minutes you will love the location are to everything U.P. has to offer. Click on the unbranded visual the 3-D tour to view your next home! Call today!              
        N10108 Shore Dr      ,Au Train,MI, 49806 ,Alger ,Shore Dr,Single-Family Home,$653500,3,3,1999,10.00,3455,,51,397,LAKE SUPERIOR living in this 3 bedroom 2.5 bath cedar sided home on 345' Lake Superior frontage. Located on Laughing Whitefish Point centrally located between Marquette and Munising. Built in 1999 on a wooded surveyed 10 acre parcel with lilac and crab apple trees. Facing east with views of AuTrain Island. Large kitchen with stainless steel appliances island and pantry. Great room has a Lake Superior sandstone wood fireplace. Many large windows to take it all in! Attached finished 2 car garage with summer room off the garage to enjoy your morning coffee or just relax with views of the lake. Main floor master suite 4 zone heat built in bookshelves den office area sauna room 2nd level sitting area and abundance of storage. Additional 10 acres available MLS#1104450              
        N10261 Shore Dr      ,Au Train,MI, 49806 ,Alger ,Shore Dr,Single-Family Home,$799000,4,3,2008,10.00,3737,$50/,231,296,Enjoy the attention to detail unique design and top-notch craftsmanship; this custom log home situated on 10.2 acres overlooking beautiful Lake Superior is a true piece of art. Sitting atop a bluff this home is surrounded by picturesque landscape from the amply wooded backdrop to the 258 feet of Lake Superior frontage with sandstone shore below. A paved drive brings you right up to the 2008 built home made from interlocking 12-inch logs and accented with cedar shake gables. The curly birch entry door opens to a custom floor with compass inlay and an open floor plan. A field stone wood burning fireplace is anchored in the corner of the living area and which features bamboo floors and a wall of windows looking out over the water a custom chandelier is a beautiful accessory to the vaulted ceiling. The dining area divides the living and kitchen and has beautiful marble incorporated into the wood creating a custom look; this space also holds the sliding glass doors opening to the expanse of decking. The kitchen is surrounded with hickory cabinets and granite counter-tops with a bonus cherry topped raised breakfast bar. A set of double doors give access from the living room into the sun room with slate floors and charming pass-through from the living room bar area. The main floor master suite hosts double closets and a master bathroom complete with steam shower and dual sinks not to mention the homes laundry! The main floor of this 3737 square foot home continues with a convenient entry from the oversize 3 car garage a half bathroom and den/office! There is a half log staircase that leads to the upper level. At the top is a bedroom with interior window to give the room a remarkable view of the lake. A small catwalk guides you to a full bathroom with soaking tub and separate shower and a third bedroom. This is where bonus space begins; a fourth bedroom and access to a family room above the garage. The family room is spacious and has a separate entrance from the attached garage.              
        N10295 Shore Dr      ,Au Train,MI, 49806 ,Alger ,Shore Dr,Single-Family Home,$649900,3,3,2011,10.00,3660,,42,25,Lake Superior living at its finest! 3 bedroom 2.5 bath timber frame home with vinyl siding and paved circular drive on 256 feet of lake frontage. Built in 2011 on a 10 acre wooded surveyed parcel with breathtaking views of Lake Superior from most every room. Many miles of trails for walking skiing and snowshoeing throughout the CFR land just down the road. Located on Laughing Whitefish Point and centrally located between Marquette and Munising. Kitchen has custom cherry cabinets with built in double oven and island open to the dining with a 3 season room attached. Great room has tongue and groove 28' ceilings and freestanding Hearthstone wood burning fireplace oak hardwood floors and a wall of large windows. 20x13 loft overlooking the great room. Main level master suite with another 3 season enclosed porch and walk in closets. Fully finished walk out lower level features 2 bedrooms full bath family room and 15x22 work room. Spacious laundry/mudroom and walk in closet. Don't forget the attached 3 car garage with 35x16 upper level storage. Wired for generator and dual gas furnaces. Enjoy watching the freighters go by and the incredible sunsets on the 54' deck then a gradual approach to the Great Lake!              
        E6629 W State Highway M28 #M28      ,Au Train,MI, 49806 ,Alger ,W State Highway M28,Single-Family Home,$384900,4,2.5,2003,42.00,3292,,105,66,Beautiful Square Timber Frame home situated on 42 acres. Custom built in 2003. Open floor plan with vaulted ceilings master bedroom with full bath and walk-in closet 2nd spacious bedroom laundry room and 3/4 bath. Completely finished full basement with Rec Room kitchenette Den/Office BR 3/4 bath and mechanical room infloor heating throughout. Full walkout to side yard. 12x12 Breezeway/Entry with storage leads to the 2 car garage. Beautiful yards with apple trees and lilacs. There is also a 40x80 warehouse/garage with 12' overhead door 2 offices 1/2 bath electric heat/wood stove and 2 lean too's.              
        E5332 Woodland Ave      ,Au Train,MI, 49806 ,Alger ,Woodland Ave,Single-Family Home,$129900,3,2,1975,0.59,1442,,161,167,Very neat and clean move in ready 3 bedroom 2 bath home featuring wood fireplace in the large family room on lower level metal roof electric heat attached garage newer siding roof and carpeting. Sitting on a double lot in the village of AuTrain. Home layout would work good for a duplex. Close to snowmobile/atv trail and short walk to Lake Superior.              
        E3440 Brisson Rd      ,Limestone,MI, 49816 ,Alger ,Brisson Rd,Single-Family Home,$184900,3,2,1992,40.00,1210,,93,293,From this beautiful 3 bedroom home roam the trails to find 3 deer blinds and plenty of wildlife on 40 acres of wooded land. Home and property feature log interior full basement with sauna a pole barn and a detached 2 car garage. Make this your cabin in the woods or your year round home!              
        E3940 Storm Rd      ,Chatham,MI, 49816 ,Alger ,Storm Rd,Single-Family Home,$27000,1,,1930,1.16,418,,361,678,Looking for that cozy camp in the woods? Come explore the peace and quiet of Limestone Township and make this your base camp for year round adventures in the Hiawatha National Forest. Open kitchen and living area with a propane fireplace to keep you warm through the seasons. Sale includes stove and refrigerator. One bedroom 12x10 recently updated with paneling and carpet. Adjacent bath closet with composting toilet--no need to run to the outhouse at night. Sale includes all appliances--even a freezer--and furniture so this is truly move-in ready. Just bring your toothbrush. Newer 8x22 east facing deck overlooks the fire pit. Outhouse and shed in the back. Located 2 1/2 miles west of the Cleveland Cliffs Basin Escanaba River State Forest and birding sanctuary. All for less than the price of a car. This could be yours by Deer Season! Property sold 'As Is.'              
        N4802 Takkinen Rd      ,Chatham,MI, 49816 ,Alger ,Takkinen Rd,Single-Family Home,$252500,4,2,2004,32.70,1680,,483,208,One-of-a-kind 4 bedroom/2 bath home in the country. Come feel the sunshine walk the woods and watch the deer grazing on your hill. Top to bottom custom finishes from the beamed ceiling doors and bird's eye maple cabinets to the scrollwork on the moulding skylights and hardwood floors. You'll appreciate the open flow of kitchen dining area and living room. Want to add a wood stove? Masonry is in place to accomodate a chimney with up to 3 fireplaces. Master suite with a closet large enough to be home office as well as cozy reading nook add to the first-floor character. Upstairs bedrooms are bright with spacious closets too. And explore up the ship's ladder to find a full 15x30 attic ready to become your hide-a-way space. Below a full walk-out basement with poured walls and 8 foot ceilings. Add more living space the palate is prepared. New furnace and CENTRAL AIR CONDITIONING installed spring of 2017. 200 amp electric service and 180 foot drilled well. The sellers have thought of everything including the start of a sugar shack back in the maples now carpeted in breath-taking trillium. Plenty of room for gardens and animals on the 32+ acres even an old shed that can be converted into a barn. Make a date to see this home and imagine greeting the day on your deck overlooking your land. Please see with a realtor no drive ups.              
        N9980 Mallette Point Trl      ,Deerton,MI, 49822 ,Alger ,Mallette Point Trl,Single-Family Home,$149900,2,,1993,3.17,576,,322,397,Lake Superior cottage with 161 feet of lake frontage. This quaint well maintained cottage is welcoming and the perfect location for a relaxing retreat! Everything you need is here just bring your suitcase and let the magic of Lake Superior wash away the stress. Perfect location halfway between Marquette and Munising! The cabin has all the amenities you need with propane lighting and heat. There is a State boat landing just minutes away where you could put your boat in the water. Or kayak right off your own private beach! Excellent rental history if you wanted to rent it out on VRBO! If you've been looking for a Lake Superior dream cottage then give you realtor a call today!              
        N9302 Sand River Rd      ,Deerton,MI, 49822 ,Alger ,Sand River Rd,Single-Family Home,$170000,3,1,1978,0.78,2413,,147,355,Beautiful custom home. You have to see this amazing custom built home. The open concept living room has tile flooring and open beam ceilings. It is surrounded by custom wall lighting and lots of built in cabinetry. A cast iron wood stove provides warmth and ambiance. Large windows and a sliding glass door provide an abundance of natural lighting and the door leads out to a beautiful patio with a temporary screen porch. A large peninsula bar separates the living room from the custom galley kitchen with beautiful tiles from around the world. The first floor bathroom is a full bath with an electric sauna! Upstairs is the master bedroom and half bath. You'll love all the closet space this room provides along with large windows and more natural lighting and a sliding glass door that opens up to a 15x24 ft deck. The second bedroom is a nonconforming/walk through off of the master which could also be used as more storage space or a home office. The third bedroom is above the 2 car garage. The room is 24x12 with a large built is desk with work stations for two people. The room has its own heat and air conditioning. the unit will stay with the house. There is also custom built in- bookshelves and two large closets. The large yard features and abundance of wild flowers and a huge garden.              
        N5494 Koski Rd      ,Eben Jct,MI, 49825 ,Alger ,Koski Rd,Single-Family Home,$63000,2,1,1930,1.00,720,,72,109,2 Bedroom home with snowmobile/4 wheeler trail at the property. Also 8 x 30 storage shed 1 car garage and a 30x48 pole barn for storage of toys.              
        E21663 Brazel St      ,Grand Marais,MI, 49839 ,Alger ,Brazel St,Single-Family Home,$139000,2,1,1945,10349,1500,,346,359,This home has been remodeled and is in very good condition. Walk to the Beach the Downtown Stores and Restaurants. City Water. Includes furniture. Ready to move in. The view of Lake Superior is limited.              
        E21963 Canal St      ,Grand Marais,MI, 49839 ,Alger ,Canal St,Mobile/Manufactured,$119000,3,2,1980,7405,945,,405,697,A rare find in Grand Marais; three bedroom two full bathroom remodeled home on Coast Guard Point Rd. Enjoy a peek-a-boo view of the bay from the back deck and easy walks to the public beaches and town. Recent remodel and replacing work includes roof septic and drain field exterior doors all windows carpet exterior paint front and back decks. Move in ready at a great price and an exceptional location! Seller is a licensed real estate agent in the State of Michigan.              
        N14145 Ellen St      ,Grand Marais,MI, 49839 ,Alger ,Ellen St,Single-Family Home,$249000,3,2,1984,5.00,1690,,92,78,Fabulous setting on five acres with a waterfall in your back yard. This three bedroom two bath home has a fairy book setting with the calm tricking of Carpenter Falls out your window. Large spacious rooms with a screened in porch to relax after a long day. Beautiful stone work surrounding the wood stove. This one is unique and a must see today.BONUS!!! A small guest cabin going to be remodeled sit out front closer to the road with a large storage building also.              
        E21816 Grand Marais Ave      ,Grand Marais,MI, 49839 ,Alger ,Grand Marais Ave,Lot/Land,$169000,,,,0.86,,,267,213,Unbelievable water front parcel right downtown Grand Marais within walking distance of the post office bank restaurants grocery store hardware store and gift shops.              
        14271 McMillan Rd      ,Grand Marais,MI, 49839 ,Alger ,McMillan Rd,Single-Family Home,$112500,3,1,1977,2922,2200,,112,159,Nice home in downtown Grand Marais. Short walk to the stores and the beach. Upstairs two bedrooms and one bath kitchen and living room. Downstairs one bedroom and second living room. Attached one car garage.              
        E21633 Ridge Rd      ,Grand Marais,MI, 49839 ,Alger ,Ridge Rd,Single-Family Home,$112500,2,1,1989,1.40,1020,,4,15,This Single-Family Home is located at E21633 Ridge Rd Grand Marais MI is currently for sale and has been listed on Trulia for 4 days. This property is listed for $112500. E21633 Ridge Rd2 beds 1 bath and approximately 1020 square feet. The price per square foot is $110. The property has a lot size of 1.40 acres sqft and was built in 1989. E21633 Ridge Rd is in Grand Marais MI.              
        E21652 Ridge Rd      ,Grand Marais,MI, 49839 ,Alger ,Ridge Rd,Mobile/Manufactured,$244500,3,2,2005,2.50,1912,,25,24,Built in 2005 and updated in 2017 this 1912 s.f. ranch home sits on 2 ½ acres of rolling land just outside of Grand Marais (walking distance to town & beaches); 3 bedrooms each with walk-in closets large dining - eating area wood burning fireplace oak cabinets with all updated appliances (water treatment system SxS refrigerator glass top range garbage disposal microwave and modern washer & dryer on the main floor & new forced air furnace in the lower level & new water heater newly installed new generator back up system. Newly added beautiful vaulted great-room with open stairwell to new partial basement with French doors to the under deck patio. The main level great-room has French doors leading to spacious multi-level decking wrapping the back of the home with ample grilling area. Large 2 Car attached garage plus very nice 8 x 22 storage building. (Plenty of land to add a pole barn.)              
        E21851 Ridge Rd      ,Grand Marais,MI, 49839 ,Alger ,Ridge Rd,Single-Family Home,$139000,2,1,1920,3.00,1119,,447,493,You can watch the many moods of Lake Superior sitting at the kitchen table in this house on Ridge Road. It's only 4 blocks to hike bike or drive to downtown Grand Marais. The three acres are both landscaped and partially left wild with some mature spruce and pine throughout an oak tree and lilac bush in the back yard and lots of wildflowers to fill your vases. In the house there's a roomy combination of the den and living room with the two bedrooms on the west side. Large kitchen with a small breakfast nook and the dinner table sits by the big picture window that looks out to the Big Lake. Recently brightened with new wainscotting the bathroom has both tub and shower. Detached from the house is a 22'X28' two car garage with side entry door. Driveway is shared with nice neighbors whose pond is part of the lovely view.              
        E22214 Webb Rd      ,Grand Marais,MI, 49839 ,Alger ,Webb Rd,Lot/Land,$22000,,,,1.00,,,93,101,Wooded one acre parcel on year a round road with electric and driveway in place. Two travel trailers are onsite and go with the sale or owner will have them removed if a buyer isn't interested in keeping them. Price is firm.              
        E22405 Webb Rd      ,Grand Marais,MI, 49839 ,Alger ,Webb Rd,Lot/Land,$60000,,,,20.00,,,198,131,One of the last larger lots available this close to town to have year round access with power and phone (thus DSL) available. This 20 acres is wooded except for the driveway road and a large clearing made for a building site which is back off of the road for privacy. There's a mix of highland along with several low spots including a very small stream. Great for the deer and other creatures. Located within about two miles from downtown Grand Marais. Seller asks that buyer pay all closing costs (with the exception of commission).              
        E21726 Wilson St      ,Grand Marais,MI, 49839 ,Alger ,Wilson St,Single-Family Home,$129900,4,1,1980,7840,1219,,463,325,Nice Location!!! This 4 bedroom 1 bath home in Grand Marais has a lot to offer. Plenty of storage every where you look. 2 balconies that walk out from the upstairs bedrooms. Home is built well Full basement All appliances all furnishings included. Walking distance into town. Close to all trails and Lake Shore. Garage to keep all your extra's and play toys. A great place to get away! Check this out today!              
        415 Birch St      ,Munising,MI, 49862 ,Alger ,Birch St,Single-Family Home,$81500,3,2,1948,6969,2206,,105,249,Spacious 2-3 Bedroom 3 bath home with lots of storage and potential. Large living room Extra large family room recreation room 3 fireplaces attached one car garage all located in town for convenience to all the amenities. Newer roof furnace and water main. Make this comfortable and spacious home yours today!              
        N3905 Blueberry Ln      ,Munising,MI, 49862 ,Alger ,Blueberry Ln,Single-Family Home,$188000,2,1,1994,4.48,988,,806,420,Tranquility and solitude of the Hiawatha National Forest! Come relax and enjoy this quality built 2 bedroom year round home/cottage. Living room has cathedral ceiling and free standing fireplace for those chilly nights and t/g walls. Well insulated for the Northern Michigan winters. Oversized 30x32 detached garage/workshop and shed for all of your gardening needs. Situated on 4.5 acres with 235 feet of Lake front on Picturesque Hovey Lake enjoy the sunsets over the 100 acre lake you can sit in your screened full length porch and watch the eagles dive for fish and the ducks and swans frolic in the lake. Enjoy a fire down by the shore in the firepit. Just a stones throw away from snowmobile and ORV trails. Snow shoeing and cross country skiing from your doorstep. Pictured Rocks and waterfalls are beautiful sites nearby. Truly a four season haven. Great privacy. A Must See!!!              
        N6479 Connors Rd      ,Munising,MI, 49862 ,Alger ,Connors Rd,Single-Family Home,$159900,3,2,1988,4.84,1584,,47,53,Great Home on nearly 5 acres with 36x36 Pole Barn that was once used for horses. Home has recently been updated and has fresh paint new floor coverings etc. Home is located just 3 miles from Munising in a country setting.              
        E10379 County Road H58      ,Munising,MI, 49862 ,Alger ,County Road H58,Single-Family Home,$149900,3,2,1995,1.00,1657,,72,163,Great Location just outside of Munising sitting on a nice corner lot. 3 bedroom 2 bath ranch style home featuring attached 2 car garage covered front porch spacious kitchen and full basement waiting for your finishing touches. Large detached pole barn partially insulated and partial plumbing. New roof in 2016.              
        E6599 Crossover Rd      ,Munising,MI, 49862 ,Alger ,Crossover Rd,Single-Family Home,$144900,1,1,2004,24.50,1188,,92,376,Unique home on Crossover Road (which is a year round county maintained road) in Alger County. Can be your main home or your camp. Built in 2004 there are 24 acres of peaceful land with thousands of acres of Hiawatha National Forest bordering the west side of the property. Enjoy the acres of trails on your own property. The yard features apple trees flower gardens and several outbuildings to store your toys. Enjoy the tranquility of being in the woods. There is a generator for back up power. Affordable living in a rural location.              
        E6636 Doe Lake Rd      ,Munising,MI, 49862 ,Alger ,Doe Lake Rd,Single-Family Home,$69900,2,,2003,20.00,1008,,92,316,Great cabin in the woods! This cabin was built in 2003 and is heavy duty with 2"x6" walls fully insulated metal roof 7 block crawl space with 12" center I-beam. Trusses designed to handle heaviest snow load! Beautiful 20 acre parcel with mature trees(not logged in many years). Close to Munising yet privacy is yours. Ride to trail system right from your own doorstep! Cabin is wired and ready for your furnishing touches!!! All furniture and appliances are included--even the generator!              
        E6636 Doe Lake Rd      ,Munising,MI, 49862 ,Alger ,Doe Lake Rd,Single-Family Home,$69900,2,,2003,20.00,1008,,92,316,Great cabin in the woods! This cabin was built in 2003 and is heavy duty with 2"x6" walls fully insulated metal roof 7 block crawl space with 12" center I-beam. Trusses designed to handle heaviest snow load! Beautiful 20 acre parcel with mature trees(not logged in many years). Close to Munising yet privacy is yours. Ride to trail system right from your own doorstep! Cabin is wired and ready for your furnishing touches!!! All furniture and appliances are included--even the generator!              
        221 E Jewell St      ,Munising,MI, 49862 ,Alger ,E Jewell St,Single-Family Home,$115000,4,2,1948,6969,1440,,140,429,Cute home nestled close to schools and walking distance to downtown. Great neighborhood with spacious backyard garage and basement. Option for Bedroom 4 to be converted back into more living space if not needed. Home features hardwood flooring solid oak kitchen cabinets updated bathroom solid wood doors and trim. Move in ready!              
        E9635 E Munising Ave #H58      ,Munising,MI, 49862 ,Alger ,E Munising Ave,Single-Family Home,$179900,4,2,1973,11.00,2357,,70,111,WHAT A GREAT LOCATION!! Just on the outskirts of town with a great view of Lake Superior... A rare find these days!! 3BR 2BA home nicely situated on 11 private wooded acres with abundant wild life. The living room has a very large window with views of beautiful sunsets over Munising Bay. The large kitchen/dinette has plenty of natural light and lots of cupboard space. The lower level w/walk-out has over 900 sq ft finished with a warm cozy wood burning fireplace. Low-E thermal pane windows were installed in 2017. Both bathrooms were updated recently as well. This is a very quiet peaceful private setting. Easy access to ski and snowmobile trails and just minutes to downtown Munising. Detached 24x25 2 car garage and 8x12 shed.              
        N3894 Hayward Rd      ,Munising,MI, 49862 ,Alger ,Hayward Rd,Single-Family Home,$329000,3,3,1999,1.05,2888,,435,280,Gorgeous home on 16 Mile Lake! Great home for recreation and relaxation including the 18x34 heated swimming pool hot tub large deck fire pit 136 feet of sandy frontage on the popular 400 acre lake and pontoon boat for summer fun! Near ATV and snowmobile trails ice fish snowshoe and then relax in either the outdoor or indoor sauna for winter fun! The home has cathedral ceilings open floor plan and a wall of windows taking full advantage of the stunning view. The master bedroom with a master bath has sliding glass doors to the deck. The loft bedroom/office has views of the lake as well. A separate office or craft room with laundry is on the first floor next to the master bedroom. The walk-out basement has another bedroom with a family room and bar area to entertain looking and again taking in the lake views. Every room takes advantage of the picturesque views. Keep all your toys in the 3 stall garage on this large lot. This floor plan has plenty of options including 1 or 2 vacation rental possibilities!              
        1456 High St      ,Munising,MI, 49862 ,Alger ,High St,Single-Family Home,$65000,3,1,1926,0.26,1421,,518,702,3 bedroom 1 bath home on FOUR 50' wide lots just a few minutes from down town. Recent updates include some newer windows completely renovated kitchen siding. Yard is nicely landscaped with apple trees and lots of room for your garden flowers etc. Lots of room to build a new home while living in the existing one.              
        N7908 Koski Rd      ,Munising,MI, 49862 ,Alger ,Koski Rd,Lot/Land,$44900,,,,7.00,,,54,144,Located just minutes from shores of Lake Superior this 7+ acre parcel on county maintained road has loads of potential. Site is wooded with cleared area for building - detached 2 car garage well septic and power already there!!!              
        E6916 Maple Grove Rd      ,Munising,MI, 49862 ,Alger ,Maple Grove Rd,Single-Family Home,$169000,3,1,1978,1.16,950,,92,330,Looking for a quiet relaxing cabin in the woods and on the water? This is it! Relax on the front deck watching the sunset on this calm cove setting on 16 Mile Lake. This 3 bedroom 1 bath cabin or home features tongue and groove interior walls and cathedral ceilings hard wood floors large windows facing the beautiful view with a wood fireplace to snuggle up to. Well maintained with many updates.              
        E9896 Miller Rd      ,Munising,MI, 49862 ,Alger ,Miller Rd,Multi-Family,$230000,,,1976,0.78,2060,,230,31,This Multi-Family is located at E9896 Miller Rd Munising MI is currently for sale and has been listed on Trulia for 230 days. This property is listed for $230000. E9896 Miller Rd and approximately 2060 square feet. The price per square foot is $112. The property has a lot size of 0.78 acres sqft and was built in 1976. E9896 Miller Rd is in Munising MI.              
        E8329 Mirror Lake Rd      ,Munising,MI, 49862 ,Alger ,Mirror Lake Rd,Single-Family Home,$149900,2,1,1960,1.75,800,,105,228,Mirror Lake - A-Frame cabin on 200' of frontage. Well septic 2 storage sheds aluminum boat/electric motor and a lot of furnishings that stay.              
        E9870 Negilski Rd      ,Munising,MI, 49862 ,Alger ,Negilski Rd,Single-Family Home,$89900,3,1,1975,2.86,1584,,5,194,Country living in the city of Munising. This three bedroom one bath on over 2.5 acres is ready for you to call it home! A little TLC will go a long way. The 30x40 pole building/garage has a workshop in the back all set to start your projects. There is a wheelchair accessible ramp to make it through the double doors in the front as well. A loft overlooks the kitchen and living room that could be made into a fourth bedroom. The seller is in the process of removing personal belongings. Appraisal completed in Spring of 2018.              
        304 Oak St      ,Munising,MI, 49862 ,Alger ,Oak St,Single-Family Home,$179900,3,2,1968,0.57,2104,,482,894,Nestled up on the hill in the woods in the City of Munising enjoy this stunning view of Munising Bay from each level of this home. This home features cathedral ceilings with loft natural lighting with tall windows and 2 sliding doors to create an amazing view bedrooms on both levels family room and walkout basement sauna garage and wrap around deck. This won't last long!              
